Image_FileName_IllumDNA,Image_FileName_IllumGFP,Metadata_ImageNumber,Metadata_Column,Metadata_Row,SBS_Doses,SBS_Controls
Channel2ILLUM.mat,Channel1ILLUM.mat,1,01,A,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,2,02,A,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,3,03,A,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,4,04,A,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,5,05,A,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,6,06,A,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,7,07,A,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,8,08,A,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,9,09,A,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,10,10,A,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,11,11,A,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,12,12,A,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,13,01,B,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,14,02,B,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,15,03,B,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,16,04,B,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,17,05,B,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,18,06,B,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,19,07,B,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,20,08,B,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,21,09,B,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,22,10,B,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,23,11,B,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,24,12,B,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,25,01,C,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,26,02,C,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,27,03,C,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,28,04,C,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,29,05,C,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,30,06,C,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,31,07,C,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,32,08,C,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,33,09,C,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,34,10,C,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,35,11,C,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,36,12,C,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,37,01,D,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,38,02,D,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,39,03,D,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,40,04,D,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,41,05,D,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,42,06,D,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,43,07,D,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,44,08,D,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,45,09,D,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,46,10,D,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,47,11,D,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,48,12,D,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,49,01,E,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,50,02,E,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,51,03,E,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,52,04,E,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,53,05,E,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,54,06,E,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,55,07,E,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,56,08,E,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,57,09,E,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,58,10,E,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,59,11,E,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,60,12,E,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,61,01,F,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,62,02,F,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,63,03,F,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,64,04,F,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,65,05,F,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,66,06,F,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,67,07,F,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,68,08,F,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,69,09,F,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,70,10,F,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,71,11,F,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,72,12,F,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,73,01,G,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,74,02,G,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,75,03,G,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,76,04,G,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,77,05,G,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,78,06,G,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,79,07,G,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,80,08,G,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,81,09,G,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,82,10,G,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,83,11,G,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,84,12,G,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,85,01,H,10,1
Channel2ILLUM.mat,Channel1ILLUM.mat,86,02,H,0,-1
Channel2ILLUM.mat,Channel1ILLUM.mat,87,03,H,1,0
Channel2ILLUM.mat,Channel1ILLUM.mat,88,04,H,2,0
Channel2ILLUM.mat,Channel1ILLUM.mat,89,05,H,3,0
Channel2ILLUM.mat,Channel1ILLUM.mat,90,06,H,4,0
Channel2ILLUM.mat,Channel1ILLUM.mat,91,07,H,5,0
Channel2ILLUM.mat,Channel1ILLUM.mat,92,08,H,6,0
Channel2ILLUM.mat,Channel1ILLUM.mat,93,09,H,7,0
Channel2ILLUM.mat,Channel1ILLUM.mat,94,10,H,8,0
Channel2ILLUM.mat,Channel1ILLUM.mat,95,11,H,9,0
Channel2ILLUM.mat,Channel1ILLUM.mat,96,12,H,0,-1
